City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
240,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
244,Monrovia,LR,78.87,broken clouds,6.3005,-10.7969,Sunset Inn
245,Bac Lieu,VN,78.57,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
246,Finschhafen,PG,80.33,overcast clouds,-6.6024,147.8681,Oasis Gagidu Ltd
249,Carutapera,BR,81.3,overcast clouds,-1.195,-46.02,Lidera
250,Bonthe,SL,79.72,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
251,Svay Rieng,KH,76.68,overcast clouds,11.0879,105.7993,Apsara guesthouse
255,Moyale,KE,73.27,few clouds,3.5167,39.0584,La Tahzan Guest House
260,Zemio,CF,71.83,few clouds,5.0314,25.1361,OCHA Office
261,Umm Kaddadah,SD,71.69,clear sky,13.6017,26.6876,
263,Alyangula,AU,84.07,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
267,Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
268,Kawalu,ID,72.34,overcast clouds,-7.3817,108.2082,West Jontor
269,Caravelas,BR,72.57,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
273,Georgetown,MY,80.24,scattered clouds,5.4112,100.3354,Cititel Penang
274,Port Blair,IN,78.76,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
277,Cabo San Lucas,MX,83.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
288,Savannah Bight,HN,83.71,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
290,Bairiki,KI,82.4,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
291,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
292,Touros,BR,80.11,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
296,Lavumisa,SZ,70.25,clear sky,-27.31,31.892,ROADSIDE B&B
305,Kirakira,SB,80.33,overcast clouds,-10.4544,161.9205,SanBiz Lodge
306,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
308,Valparaiso,CL,70.03,clear sky,-33.0393,-71.6273,Hotel Ultramar
310,Kavaratti,IN,81.97,clear sky,10.5669,72.642,Green leaf
