City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Date
167,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,77.5,93,100,1.03,overcast clouds,2022-11-17 20:16:31
168,Kotelnikovo,RU,47.6317,43.1461,51.51,84,100,14.74,overcast clouds,2022-11-17 20:24:40
169,Vao,NC,-22.6667,167.4833,75.76,78,99,11.07,overcast clouds,2022-11-17 20:16:58
170,Talnakh,RU,69.4865,88.3972,-5.69,97,100,23.31,snow,2022-11-17 20:15:53
171,Qaqortoq,GL,60.7167,-46.0333,13.39,80,94,4.92,overcast clouds,2022-11-17 20:24:40
172,Birao,CF,10.2849,22.7882,74.53,27,58,6.13,broken clouds,2022-11-17 20:24:41
173,Haines Junction,CA,60.7522,-137.5108,10.35,85,64,2.3,broken clouds,2022-11-17 20:24:41
174,Lodwar,KE,3.1191,35.5973,85.68,41,7,12.41,clear sky,2022-11-17 20:24:42
175,Dali,CN,25.7,100.1833,44.11,70,0,3.47,clear sky,2022-11-17 20:18:14
176,Onega,RU,63.9061,38.1404,24.17,91,99,3.65,overcast clouds,2022-11-17 20:19:48
177,Cantaura,VE,9.3057,-64.3584,81.55,70,100,5.19,overcast clouds,2022-11-17 20:24:42
178,Carnarvon,AU,-24.8667,113.6333,65.19,60,99,18.45,overcast clouds,2022-11-17 20:24:43
179,West Bay,KY,19.3667,-81.4167,85.06,81,20,12.66,few clouds,2022-11-17 20:24:43
180,Castro,BR,-24.7911,-50.0119,74.7,43,3,4.29,clear sky,2022-11-17 20:24:43
181,East London,ZA,-33.0153,27.9116,66.99,87,100,5.06,light rain,2022-11-17 20:14:59
182,Vasto,IT,42.1243,14.7059,58.68,81,0,6.58,clear sky,2022-11-17 20:24:25
183,Koslan,RU,63.4564,48.8989,9.09,93,99,6.44,overcast clouds,2022-11-17 20:25:44
184,Elk City,US,35.412,-99.4043,55.62,33,0,13.8,clear sky,2022-11-17 20:25:44
185,Itarema,BR,-2.9248,-39.9167,81.1,71,8,17.11,clear sky,2022-11-17 20:17:57
186,Yar-Sale,RU,66.8333,70.8333,17.44,83,100,29.48,overcast clouds,2022-11-17 20:25:45
187,Copiapo,CL,-27.3667,-70.3333,64.09,34,9,11.34,clear sky,2022-11-17 20:25:45
188,Golfito,CR,8.639,-83.166,81.84,84,61,4.34,moderate rain,2022-11-17 20:25:45
189,Ribeira Grande,PT,38.5167,-28.7,59.4,67,20,8.05,few clouds,2022-11-17 20:25:46
190,Ridgecrest,US,35.6225,-117.6709,62.69,17,20,3.0,few clouds,2022-11-17 20:25:46
191,Luderitz,NA,-26.6481,15.1594,60.57,72,5,14.99,clear sky,2022-11-17 20:25:46
192,Zolotyy Potik,UA,48.9095,25.3393,30.65,97,100,5.17,light snow,2022-11-17 20:25:46
193,Turukhansk,RU,65.8167,87.9833,-4.45,98,100,20.24,light snow,2022-11-17 20:16:09
194,Namibe,AO,-15.1961,12.1522,69.31,81,43,3.85,scattered clouds,2022-11-17 20:18:29
195,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,71,62,18.48,broken clouds,2022-11-17 20:20:33
196,Sibu,MY,2.3,111.8167,77.31,94,40,2.3,light rain,2022-11-17 20:24:11
197,Menongue,AO,-14.6585,17.691,70.72,57,34,5.03,scattered clouds,2022-11-17 20:21:12
198,Ketchikan,US,55.3422,-131.6461,43.27,56,0,4.07,clear sky,2022-11-17 20:21:02
199,Mfou,CM,3.7159,11.6427,67.8,96,38,3.27,scattered clouds,2022-11-17 20:25:47
